-ί|n15907
@καὶ3|n16332
@καὶ4|n16310
@καὶ5|n16309
@καὶ|n16308
@κείω1|n17662
@κείω2|n17663
@κείω3|n17664
@κείω|n17662
@κειμήλιον1|n17658
@κειμήλιον2|n17659
@κειμήλιον|n17658
@κλείω1|n18067
@κλείω2|n18068
@κλείω|n18067
@κλῄζω1|n18082
@κλῄζω2|n18083
@κλῄζω|n18082
@κόρος1|n18463
@κόρος2|n18464
@κόρος3|n18465
@κόρος|n18463
@κύριος1|n19053
@κύριος2|n19054
@κύριος|n19053
@κώρυκος|n19149
@κῦρος|n19060
@λάω1|n19376
@λάω3|n19377
@λάω|n19376
@λέγω1|n19384
@λέγω2|n19385
@λέγω3|n19386
@λέγω|n19384
@λίς1|n19807
@λίς2|n19808
@λίς|n19807
@λίψ1|n19839
@λίψ2|n19840
@λίψ|n19839
@λαμπάς1|n19278
@λαμπάς2|n19277
@λαμπάς|n19278
@λειστός1|n19412
@λειστός2|n19413
@λειστός|n19412
@λιμηρός1|n19732
@λιμηρός2|n19733
@λιμηρός|n19732
@λιτός1|n19825
@λιτός3|n19824
@λιτός|n19825
@λύγξ1|n19958
@λύγξ2|n19959
@λύγξ|n19958
@λῆξις1|n19614
@λῆξις2|n19615
@λῆξις|n19614
@μέτειμι1|n21002
@μέτειμι2|n21003
@μέτειμι|n21002
@μίτρα|n21401
@μαλίς2|n20256
@μαῖα|n20143
@μηλίς1|n21125
@μόσχος1|n21604
@μόσχος2|n21605
@μόσχος|n21604
@μὴ1|n21078
@μὴ2|n21079
@μὴ3|n21166
@μὴ4|n21165
@μὴ5|n21167
@μὴ|n21078
@μῆδος1|n21103
@μῆδος2|n21104
@μῆλον1|n21132
@μῆλον2|n21133
@μῆλον|n21132
@νέω1|n22152
@νέω2|n22153
@νέω3|n22154
@νέω4|n22155
@νέω|n22152
@ναίω1|n21834
@ναίω2|n21835
@ναίω|n21834
@νεόδμητος1|n22039
@νεόδμητος2|n22040
@νεόδμητος|n22039
@νεόρρυτος1|n22079
@νεόρρυτος2|n22080
@νεόρρυτος|n22079
@νυμφίος1|n22426
@νυμφίος2|n22427
@νυμφίος|n22426
@νῦν1|n22441
@νῦν2|n22437
@νῦν|n22441
@ξένος1|n22516
@ξένος2|n22517
@ξένος|n22516
@ξυστός1|n22591
@ξυστός2|n22592
@ξυστός|n22591
@οὐ10|n23835
@οὐ11|n23809
@οὐ12|n23865
@οὐ16|n23868
@οὐ17|n23867
@οὐ18|n23882
@οὐ1|n23869
@οὐ2|n23876
@οὐ3|n23807
@οὐ4|n23866
@οὐ5|n23808
@οὐ6|n23834
@οὐ7|n23810
@οὐ8|n23880
@οὐ9|n23811
@οὐ|n23869
@οὐδός1|n23836
@οὐδός2|n23837
@οὐδός|n23836
@οὐλή1|n23847
@οὐλή2|n23848
@οὐλή|n23847
@οὔ1|n23872
@οὔ4|n23877
@οὔ6|n23878
@οὔ7|n23879
@οὔ|n23872
@οὖλος1|n23856
@οὖλος2|n23857
@οὖλος3|n23858
@οὖλος|n23856
@οὖρον1|n23916
@οὖρον2|n23917
@οὖρον|n23916
@οὖρος1|n23918
@οὖρος2|n23919
@οὖρος3|n23920
@οὖρος4|n23921
@οὖρος|n23918
@πάνορμος|n24433
@πάρειμι1|n24984
@πάρειμι2|n24985
@πάρειμι|n24984
@πάρος|n25165
@πέρα1|n25541
@πέρα2|n25542
@πέρα|n25541
@πίασμα1|n26169
@πίασμα2|n26170
@πίασμα|n26169
@παίω1|n24149
@παίω2|n24150
@παίω|n24149
@παραδεκτέος1|n24569
@παραδεκτέος2|n24570
@παραδεκτέος|n24569
@περάω1|n25548
@περάω2|n25549
@περάω|n25548
@περίδρομος1|n25621
@περίδρομος2|n25622
@περίδρομος|n25621
@περίειμι1|n25626
@περίειμι2|n25627
@περίειμι|n25626
@πιστικός1|n26264
@πιστικός2|n26265
@πιστικός|n26264
@πιστός1|n26267
@πιστός2|n26268
@πιστός|n26267
@πλάθω1|n26300
@πλάθω2|n26301
@πλάθω|n26300
@πλοῦτος1|n26477
@πλοῦτος2|n26478
@πλοῦτος|n26477
@πολύπους1|n26919
@πολύπους2|n26920
@πολύπους|n26919
@πρίων1|n27313
@πρίων2|n27312
@πρίων|n27313
@προθέω1|n27591
@προθέω2|n27592
@προθέω|n27591
@προλέγω1|n27700
@προλέγω2|n27701
@προλέγω|n27700
@προμήθεια|n27729
@προσδέω1|n27970
@προσδέω2|n27971
@προσδέω|n27970
@προσκοπή1|n28189
@προσκοπή2|n28188
@προσκοπή|n28189
@πρόδομος1|n27477
@πρόδομος2|n27478
@πρόδομος|n27477
@πρόειμι1|n27498
@πρόειμι2|n27499
@πρόειμι|n27498
@πρόοδος1|n27774
@πρόοδος2|n27773
@πρόοδος|n27774
@πρόσειμι1|n28009
@πρόσειμι2|n28010
@πρόσειμι|n28009
@πυκτίς1|n28784
@πυκτίς2|n28785
@πυκτίς|n28784
@πόσις1|n27159
@πόσις2|n27160
@πόσις|n27159
@πύλος|n28805
@πύρινος1|n28872
@πύρινος2|n28871
@πύρινος|n28872
@πῶμα1|n28955
@πῶμα2|n28956
@πῶμα|n28955
@πῶς1|n28966
@πῶς2|n28968
@πῶς|n28966
@σκάφος1|n29684
@σκάφος2|n29685
@σκάφος|n29684
@σμυρναῖος|n29942
@σμύρνα|n29944
@σπάρτη|n30010
@στεῖρα1|n30184
@στεῖρα2|n30185
@στεῖρα|n30184
@στησίχορος|n30279
@στύραξ1|n30480
@στύραξ2|n30481
@στύραξ|n30480
@συλληπτέος1|n30756
@συλληπτέος2|n30757
@συλληπτέος|n30756
@συμπάρειμι1|n30904
@συμπάρειμι2|n30905
@συμπάρειμι|n30904
@συνεράω1|n31480
@συνεράω2|n31481
@συνεράω|n31480
@συννέω1|n31613
@συννέω2|n31614
@συννέω|n31613
@συρίζω|n31777
@σύναυλος1|n31226
@σύναυλος2|n31224
@σύναυλος|n31226
@σύνειμι1|n31329
@σύνειμι2|n31330
@σύνειμι|n31329
@σύνοδος1|n31629
@σύνοδος2|n31630
@σύνοδος|n31629
@σῖγμα1|n29501
@σῖγμα2|n29502
@σῖγμα|n29501
@τάριχος1|n32192
@τάριχος2|n32193
@τάριχος|n32192
@τάφος1|n32243
@τάφος2|n32244
@τάφος|n32243
@ταῦ1|n32208
@ταῦ2|n32209
@ταῦ|n32208
@τρέχνος1|n32917
@τρέχνος2|n32918
@τρέχνος|n32917
@τρίγλυφος1|n32965
@τρίγλυφος2|n32966
@τρίγλυφος|n32965
@τρύχω1|n33228
@τρύχω2|n33229
@τρύχω|n33228
@τυφώς|n33347
@φάσις1|n34575
@φάσις2|n34576
@φάσις|n34575
@φανός1|n34543
@φανός2|n34544
@φανός|n34543
@φοῖνιξ|n35115
@χαλκίς|n35492
@χείρων|n35683
@χοῦς1|n35916
@χοῦς2|n35917
@χοῦς|n35916
@χράω1|n35923
@χράω2|n35924
@χράω|n35923
@χῶρος1|n36142
@ψεύδω1|n36233
@ψεύδω2|n36234
@ψεύδω|n36233
@ψιλόω1|n36275
@ψιλόω2|n36276
@ψιλόω|n36275
@ἀίω1|n965
@ἀίω2|n966
@ἀίω|n965
@ἀλήιος|n1407
@ἀμάω1|n1693
@ἀμάω2|n1694
@ἀμάω|n1693
@ἀπείρων1|n3797
@ἀπείρων2|n3798
@ἀπείρων|n3797
@ἀπειλέω1|n3769
@ἀπειλέω2|n3770
@ἀπειλέω|n3769
@ἀπειρία1|n3785
@ἀπειρία2|n3786
@ἀπειρία|n3785
@ἀποδέω1|n4000
@ἀποδέω2|n4001
@ἀποδέω|n4000
@ἀποκλάζω1|n4114
@ἀποκλάζω2|n4115
@ἀποκλάζω|n4114
@ἀπολέγω1|n4178
@ἀπολέγω2|n4179
@ἀπολέγω|n4178
@ἀπόφασις1|n4530
@ἀπόφασις2|n4531
@ἀπόφασις|n4530
@ἀράω1|n4687
@ἀράω2|n4688
@ἀράω|n4687
@ἀργός1|n4715
@ἀργός2|n4716
@ἀργός|n4715
@ἀσφάραγος1|n5330
@ἀσφάραγος2|n5331
@ἀσφάραγος|n5330
@ἀφυλακτέω1|n5864
@ἀφυλακτέω2|n5865
@ἀφυλακτέω|n5864
@ἁλίζω1|n1434
@ἁλίζω2|n1435
@ἁλίζω|n1434
@ἁμός1|n1828
@ἁμός2|n1829
@ἁμός|n1828
@ἄν1|n2097
@ἄν2|n2096
@ἄν|n2097
@ἄνοδος1|n2945
@ἄνοδος2|n2946
@ἄνοδος|n2945
@ἄνω1|n3501
@ἄνω2|n3502
@ἄνω|n3501
@ἄπειμι1|n3775
@ἄπειμι2|n3776
@ἄπειμι|n3775
@ἄπειρος1|n3793
@ἄπειρος2|n3794
@ἄπειρος|n3793
@ἄπιος1|n3896
@ἄπιος2|n3897
@ἄπιος|n3896
@ἄρωμα1|n5088
@ἄρωμα2|n5089
@ἄρωμα|n5088
@ἄσκοπος1|n5161
@ἄσκοπος2|n5162
@ἄσκοπος|n5161
@ἄω1|n5974
@ἄω2|n5975
@ἄω3|n5976
@ἄω|n5974
@ἄωρος1|n5980
@ἄωρος2|n5981
@ἄωρος|n5980
@ἅλιος1|n1457
@ἅλιος2|n1458
@ἅλιος|n1457
@Ἀλήιος|n1406
@Ἀχαία1|n5875
@Ἀχαία2|n5876
@Ἀχαία|n5875
@ἐλελίζω1|n10532
@ἐλελίζω2|n10533
@ἐλελίζω|n10532
@ἐμβαδόν1|n10652
@ἐμβαδόν2|n10653
@ἐμβαδόν|n10652
@ἐναύω1|n10930
@ἐναύω2|n10931
@ἐναύω|n10930
@ἐνδέω1|n10958
@ἐνδέω2|n10959
@ἐνδέω|n10958
@ἐνδαίω1|n10935
@ἐνδαίω2|n10936
@ἐνδαίω|n10935
@ἐξαμάω1|n11344
@ἐξαμάω2|n11345
@ἐξαμάω|n11344
@ἐξαύω2|n11456
@ἐξαύω3|n11457
@ἐξαύω|n11456
@ἐξερέω1|n11510
@ἐξερέω2|n11511
@ἐξερέω|n11510
@ἐπίλογχος1|n12427
@ἐπίλογχος2|n12428
@ἐπίλογχος|n12427
@ἐπίπλοος1|n12578
@ἐπίπλοος3|n12577
@ἐπίπλοος|n12578
@ἐπίσκοπος1|n12677
@ἐπίσκοπος2|n12678
@ἐπίσκοπος|n12677
@ἐπιδέω1|n12159
@ἐπιδέω2|n12160
@ἐπιδέω|n12159
@ἐπιδαίομαι1|n12131
@ἐπιδαίομαι2|n12132
@ἐπιδαίομαι|n12131
@ἐπιθύω1|n12247
@ἐπιθύω2|n12248
@ἐπιθύω|n12247
@ἐπικλείω1|n12322
@ἐπικλείω2|n12323
@ἐπικλείω|n12322
@ἐπινέω1|n12500
@ἐπινέω2|n12501
@ἐπινέω3|n12502
@ἐπινέω|n12500
@ἐπιπάρειμι1|n12541
@ἐπιπάρειμι2|n12542
@ἐπιπάρειμι|n12541
@ἐπιχράω1|n12925
@ἐπιχράω2|n12926
@ἐπιχράω|n12925
@ἐράω1|n13080
@ἐράω2|n13081
@ἐράω|n13080
@ἑστία|n13318
@ἔλεγχος1|n10521
@ἔλεγχος2|n10520
@ἔλεγχος|n10521
@ἔμπαιος1|n10725
@ἔμπαιος2|n10726
@ἔμπαιος|n10725
@ἔμπλην1|n10767
@ἔμπλην2|n10768
@ἔμπλην|n10767
@ἔναυλος1|n10923
@ἔναυλος2|n10924
@ἔναυλος|n10923
@ἔξοδος1|n11599
@ἔξοδος2|n11600
@ἔξοδος|n11599
@ἔπειμι1|n11934
@ἔπειμι|n11935
@ἔργω1|n13104
@ἔργω2|n13106
@ἔργω|n13105
@ἔρος1|n13237
@ἔρος2|n13238
@ἔρος|n13237
@ἔφοδος1|n14306
@ἔφοδος2|n14307
@ἔφοδος3|n14308
@ἔφοδος|n14306
@ἔφορμος1|n14328
@ἔφορμος2|n14329
@ἔφορμος|n14328
@ἕλιξ1|n10580
@ἕλιξ2|n10581
@ἕλιξ|n10580
@ἕνος1|n11173
@ἕνος2|n11174
@ἕνος|n11173
@ἕρμα1|n13213
@ἕρμα2|n13214
@ἕρμα|n13213
@Ἑστία|n13317
@ἡνία1|n14779
@ἡνία2|n14780
@ἡνία|n14779
@ἤ1|n14540
@ἤ2|n14541
@ἤ|n14540
@ἰαχή1|n15673
@ἰαχή2|n15674
@ἰαχή|n15673
@ἰδέ1|n15683
@ἰδέ2|n15684
@ἰδέ|n15683
@ἰθύς1|n15784
@ἰθύς2|n15785
@ἰθύς|n15784
@ἰταλός|n16125
@ἰός1|n15897
@ἰός3|n15898
@ἰός|n15897
@ἰώ|n16185
@ἰῶτα1|n16187
@ἰῶτα2|n16188
@ἰῶτα|n16187
@ἴδη1|n15686
@Ἰταλός|n16126
@Ἰώ|n16186
@Ἴδη|n15685
@Ἴλιος1|n15837
@Ἴλιος2|n15838
@Ἴλιος|n15837
@ὁδός1|n22660
@ὁδός2|n22661
@ὁδός|n22660
@ὁλκός1|n23037
@ὁλκός2|n23038
@ὁλκός|n23037
@ὄγκος1|n22626
@ὄγκος2|n22627
@ὄγκος|n22626
@ὅμηρος|n23132
@ὅτι1|n23789
@ὅτι2|n23790
@ὅτι|n23789
@Ὅμηρος|n23131
@ὑάκινθος|n33364
@ὑγιαίνω1|n33380
@ὑγιαίνω2|n33381
@ὑγιαίνω|n33380
@ὑμήν1|n33481
@ὑμήν2|n33482
@ὑμήν|n33481
@ὑποθυμίς1|n34038
@ὑποθυμίς2|n34050
@ὑποθυμίς|n34038
@ὑπόλογος1|n34109
@ὑπόλογος2|n34110
@ὑπόλογος|n34109
@ὕπειμι1|n33575
@ὕπειμι2|n33576
@ὕπειμι|n33575
@Ὑάκινθος|n33365
@ῥέα|n29047
@ῥυτός2|n29224
@ῥυτός3|n29225
@ῥυτός|n29224
@Ῥέα|n29046
αἰ|n874
αἰάζω|n679
αἰένυπνος|n750
αἰακίδης|n681
αἰακτός|n682
αἰανής|n683
αἰαῖ|n680
αἰβοῖ|n686
αἰγίβοσις|n698
αἰγίβοτος|n700
αἰγίθαλλος|n701
αἰγίκνημος|n702
αἰγίλιψ|n704
αἰγίνομος|n711
αἰγίοχος|n713
αἰγίπους|n715
αἰγίπυρος|n716
αἰγίς|n717
αἰγαίων|n689
αἰγανέη|n690
αἰγαῖος|n688
αἰγελάτης|n694
αἰγιαλίτης|n696
αἰγιαλός|n697
αἰγιβότης|n699
αἰγικορεῖς|n703
αἰγινήτης|n709
αἰγιναίη|n706
αἰγιναῖος|n707
αἰγινομεύς|n710
αἰγινόμος|n712
αἰγιπόδης|n714
αἰγλήεις|n718
αἰγλοφανής|n720
αἰγοπρόσωπος|n724
αἰγοπόδης|n723
αἰγυπιός|n725
αἰγυπτιάζω|n726
αἰγυπτιακός|n727
αἰγυπτιστί|n729
αἰγυπτογενής|n730
αἰγόκερως|n721
αἰγόνυξ|n722
αἰγύπτιος|n728
αἰγῶνυξ|n733
αἰδέομαι|n734
αἰδέσιμος|n735
αἰδήμων|n738
αἰδοῖον|n742
αἰδοῖος|n743
αἰδόφρων|n744
αἰδώς|n749
αἰζήιος|n751
αἰζηός|n752
αἰθάλη|n754
αἰθέριος|n761
αἰθήρ|n763
αἰθίοψ|n766
αἰθαλίων|n755
αἰθαλόεις|n756
αἰθαλόω|n758
αἰθερεμβατέω|n760
αἰθεροδρόμος|n762
αἰθιοπία|n764
αἰθιοπικός|n765
αἰθρία|n772
αἰθρηγενής|n770
αἰθριάω|n773
αἰθριοκοιτέω|n774
αἰθυκτήρ|n778
αἰθύσσω|n779
αἰκάλλω|n782
αἰκέλιος|n783
αἰκία|n786
αἰκίζω|n787
αἰκισμός|n789
αἰνέω|n833
αἰνίζω|n839
αἰνίσσομαι|n842
αἰναρέτης|n830
αἰνετός|n832
αἰνητός|n835
αἰνιγματώδης|n837
αἰνιγμός|n838
αἰνικτήριος|n840
αἰνικτός|n841
αἰνοβίας|n843
αἰνολέων|n849
αἰνολαμπής|n847
αἰνοπαθής|n853
αἰνοπατήρ|n855
αἰνοτόκεια|n858
αἰνοτύραννος|n859
αἰνόγαμος|n844
αἰνόθεν|n845
αἰνόθρυπτος|n846
αἰνόλεκτρος|n848
αἰνόλινος|n850
αἰνόλυκος|n851
αἰνόμορος|n852
αἰνόπαρις|n854
αἰνός|n856
αἰολίζω|n863
αἰολεύς|n862
αἰολικός|n864
αἰολοβρόντης|n866
αἰολοθώρηξ|n867
αἰολομίτρης|n869
αἰολόμητις|n868
αἰολόπωλος|n870
αἰολόστομος|n872
αἰπήεις|n876
αἰπεινός|n875
αἰπολέω|n877
αἰπολικός|n878
αἰπυμήτης|n883
αἰπόλιον|n879
αἰπόλος|n880
αἰπός|n882
αἰπύνωτος|n884
αἰπύς|n885
αἰσθάνομαι|n896
αἰσθητήριον|n899
αἰσθητικός|n900
αἰσθητός|n901
αἰσιμία|n903
αἰσυμνάω|n912
αἰσυμνήτης|n915
αἰσυμνητήρ|n914
αἰσυμνητεία|n913
αἰσχρήμων|n917
αἰσχροκέρδεια|n918
αἰσχροκερδής|n919
αἰσχρολογέω|n920
αἰσχρολογία|n921
αἰσχροποιός|n923
αἰσχροπραγέω|n924
αἰσχρουργία|n927
αἰσχρόμητις|n922
αἰσχρός|n925
αἰσχρότης|n926
αἰσχυντέος|n929
αἰσχυντήρ|n932
αἰσχυντηλός|n930
αἰσχυντηρός|n931
αἰσχυντικός|n933
αἰσχύνη|n928
αἰσχύνω|n934
αἰτέω|n936
αἰτία|n945
αἰτίαμα|n943
αἰτίζω|n947
αἰτητέον|n939
αἰτητικός|n940
αἰτητός|n941
αἰτιάζομαι|n942
αἰτιάομαι|n944
αἰτιατέον|n946
αἰτιολογικός|n948
αἰτναῖος|n950
αἰφνίδιος|n951
αἰχμάζω|n952
αἰχμάλωτος|n957
αἰχμή|n959
αἰχμήεις|n958
αἰχμαλωσία|n953
αἰχμαλωτίς|n956
αἰχμαλωτεύω|n954
αἰχμαλωτικός|n955
αἰχμητής|n960
αἰχμοφόρος|n961
αἰψηροκέλευθος|n963
αἰψηρός|n964
αἰωρέω|n970
αἰωρητός|n972
αἰόλλω|n865
αἰόλος|n871
αἰών|n968
αἰώνιος|n967
αἰώρα|n969
αἰώρημα|n971
αἱμάς|n797
αἱμάσσω|n798
αἱμακτός|n793
αἱμαλέος|n794
αἱμασιά|n796
αἱματεκχυσία|n799
αἱματηρός|n800
αἱματηφόρος|n801
αἱματολοιχός|n803
αἱματοπώτης|n804
αἱματορρόφος|n805
αἱματοσταγής|n807
αἱματοχάρμης|n809
αἱματωπός|n812
αἱματόεις|n802
αἱματόρρυτος|n806
αἱματόφυρτος|n808
αἱματόω|n810
αἱματώδης|n811
αἱματώψ|n813
αἱμοβαφής|n814
αἱμοβόρος|n815
αἱμορραγής|n817
αἱμορροέω|n819
αἱμοσταγής|n822
αἱμοφόρυκτος|n823
αἱμυλία|n824
αἱμυλομήτης|n825
αἱμωπός|n829
αἱμόδιψος|n816
αἱμόρραντος|n818
αἱμόρροια|n820
αἱμόρρυτος|n821
αἱμύλος|n826
αἱμώδης|n827
αἱρέσιμος|n886
αἱρέω|n892
αἱρετέος|n888
αἱρετίζω|n889
αἱρετικός|n890
αἱρετός|n891
αἴ|n873
αἴαγμα|n678
αἴας|n685
αἴγαγρος|n687
αἴγειος|@
αἴγειρος|n693
αἴγεος|n695
αἴγιλος|n705
αἴγινα|n708
αἴγλη|n719
αἴγυπτος|n732
αἴγυπτόνδε|n731
αἴδεσις|n736
αἴητος|n753
αἴθαλος|n757
αἴθε|n759
αἴθουσα|n768
αἴθρη|n771
αἴθριος|n775
αἴθυια|n777
αἴθω|n781
αἴθων|n780
αἴκισμα|n788
αἴλινος|n791
αἴλουρος|n792
αἴνεσις|n831
αἴνη|n834
αἴνιγμα|n836
αἴνυμαι|n860
αἴξ|n861
αἴρω|n894
αἴσθημα|n897
αἴσθησις|n898
αἴσιμος|n904
αἴσιος|n905
αἴσυλος|n911
αἴτημα|n937
αἴτησις|n938
αἴτιος|n949
αἵμων|n828
αἵρεσις|n887
αἶα1|n684
αἶα|n684
αἶθος|n767
αἶθοψ|n769
αἶθρος|n776
αἶνος|n857
αἶπος|n881
αἶσα|n895
αἶσχος|n916
αἶψα|n962
αἷμα|n795
αὐίαχος|n5525
αὐαίνω|n5502
αὐαλέος|n5503
αὐγάζω|n5504
αὐγή|n5505
αὐδάζομαι|n5506
αὐδάω|n5507
αὐδή|n5509
αὐδήεις|n5508
αὐερύω|n5510
αὐθάδεια|n5511
αὐθάδης|n5512
αὐθάδισμα|n5514
αὐθέκαστος|n5518
αὐθέντης|n5520
αὐθήμερος|n5521
αὐθαίμων|n5516
αὐθαίρετος|n5517
αὐθαδίζομαι|n5513
αὐθαδόστομος|n5515
αὐθεντέω|n5519
αὐθιγενής|n5522
αὐλέω|n5529
αὐλή|n5531
αὐλίδιον|n5537
αὐλίζομαι|n5538
αὐλίσκος|n5541
αὐλακεργάτης|n5526
αὐλητής|n5533
αὐλητικός|n5534
αὐλητρίς|n5535
αὐλιάδες|n5536
αὐλιστρίς|n5543
αὐλοδόκη|n5544
αὐλοθετέω|n5545
αὐλοποιική|n5546
αὐλοποιός|n5547
αὐλός|n5548
αὐλών|n5549
αὐλῶπις|n5550
αὐξάνω|n5551
αὐξησία|n5553
αὐξοσέληνον|n5556
αὐονή1|n5557
αὐονή|n5557
αὐσταλέος|n5563
αὐστηρός|n5564
αὐστηρότης|n5565
αὐτάγγελος|n5566
αὐτάγρετος|n5567
αὐτάδελφος|n5568
αὐτάρκεια|n5571
αὐτάρκης|n5572
αὐτήκοος|n5579
αὐτίκα|n5582
αὐτανέψιος|n5570
αὐτεξούσιος|n5573
αὐτεπάγγελτος|n5574
αὐτεπώνυμος|n5576
αὐτερέτης|n5577
αὐτοάνθρωπος|n5584
αὐτοέκαστος|n5600
αὐτοέντης|n5601
αὐτοβοεί|n5585
αὐτογέννητος|n5587
αὐτογνωμονέω|n5588
αὐτογνώμων|n5589
αὐτοδάικτος|n5593
αὐτοδάξ|n5594
αὐτοδίδακτος|n5597
αὐτοδαής|n5592
αὐτοετής|n5603
αὐτοετεί|n5602
αὐτοθαίς|n5604
αὐτοθελής|n5606
αὐτοθελεί|n5605
αὐτοκάβδαλος|n5609
αὐτοκέλευθος|n5613
αὐτοκέλευστος|n5614
αὐτοκασίγνητος|n5611
αὐτοκασιγνήτη|n5610
αὐτοκατάκριτος|n5612
αὐτοκελής|n5615
αὐτοκράτωρ|n5621
αὐτοκρατής|n5619
αὐτοκρατορικός|n5620
αὐτοκτονέω|n5623
αὐτοκτόνος|n5624
αὐτοκυβερνήτης|n5625
αὐτολήκυθος|n5627
αὐτομέδων|n5632
αὐτομέλιννα|n5633
αὐτομαθής|n5628
αὐτοματίζω|n5630
αὐτομολέω|n5634
αὐτομολία|n5635
αὐτονομέομαι|n5637
αὐτονομία|n5638
αὐτονυχί|n5641
αὐτοπάθεια|n5644
αὐτοπήμων|n5647
αὐτοπαγής|n5643
αὐτοπαθής|n5645
αὐτοπολίτης|n5650
αὐτοπρόσωπος|n5654
αὐτοπωλικός|n5657
αὐτοπόνητος|n5651
αὐτοπώλης|n5656
αὐτοσίδηρος|n5661
αὐτοσταδίη|n5664
αὐτοσφαγής|n5667
αὐτοσχέδιος|n5671
αὐτοσχεδίασμα|n5669
αὐτοσχεδιάζω|n5668
αὐτοσχεδιαστής|n5670
αὐτοσχεδόν|n5672
αὐτοτέλεστος|n5673
αὐτοτελής|n5674
αὐτοτραγικός|n5676
αὐτοτροπήσας|n5677
αὐτουργέω|n5679
αὐτουργία|n5681
αὐτουργός|n5682
αὐτοφυής|n5688
αὐτοφόνος|n5685
αὐτοφόντης|n5686
αὐτοχειρία|n5692
αὐτοχόλωτος|n5696
αὐτοχόωνος|n5697
αὐτοψία|n5699
αὐτούργητος|n5680
αὐτοῦ|n5678
αὐτόβουλος|n5586
αὐτόγνωτος|n5590
αὐτόγυος|n5591
αὐτόδεκα|n5595
αὐτόδηλος|n5596
αὐτόδικος|n5598
αὐτόδιον|n5599
αὐτόθεν|n5607
αὐτόθι|n5608
αὐτόκλαδος|n5616
αὐτόκλητος|n5617
αὐτόκομος|n5618
αὐτόκτιτος|n5622
αὐτόκωπος|n5626
αὐτόμαρτυς|n5629
αὐτόματος|n5631
αὐτόμολος|n5636
αὐτόνομος|n5639
αὐτόνοος|n5640
αὐτόξυλος|n5642
αὐτόπαις|n5646
αὐτόποιος|n5648
αὐτόπολις|n5649
αὐτόπους|n5652
