-ί|iota demonstrativum
@οὐ9|merely οὐ γάρ strengthd., Od., etc.:—so οὐγάρ, τοι ἀλλά Plat.
@οὐ|not
@οὐδός1|a threshold
@οὐδός2|a way
@οὐδός|a threshold
@οὐλή1|v. οὐλαί.
@οὐλή2|a scar
@οὐλή|v. οὐλαί.
@οὔ1|surely not
@οὔ4|nowhere
@οὔ6|not ever, never
@οὔ7|surely you do not mean that . .?
@οὔ|surely not
@οὖλος1|whole, entire
@οὖλος2|woolly, woollen
@οὖλος3|destructive, baneful
@οὖλος|whole, entire
@οὖρον1|urine
@οὖρον2|boundary
@οὖρον|urine
@οὖρος1|a fair wind
@οὖρος2|a watcher, warder, guardian
@οὖρος3|a boundary.
@οὖρος4|Lat. urus, a buffalo, Anth.
@οὖρος|a fair wind
@πάνορμος|always fit for landing in
@πάρειμι1|to be by or present
@πάρειμι2|to go by, beside or past, to pass by, pass
@πάρειμι|to be by or present
@πάρος|beforetime, formerly, erst
@πέρα1|beyond, across or over, further
@πέρα2|v. πέραν sub fin.
@πέρα|beyond, across or over, further
@πίασμα1|that which makes fat
@πίασμα2|doric and late attic for πίεσμα.
@πίασμα|that which makes fat
@παίω1|to strike, smite
@παίω2|to eat
@παίω|to strike, smite
@παραδεκτέος1|one must admit
@παραδεκτέος2|to be admitted
@παραδεκτέος|one must admit
@περάω1|to drive right through
@περάω2|to carry beyond seas for the purpose of selling, to export for sale
@περάω|to drive right through
@περίδρομος1|running round
@περίδρομος2|that which surrounds
@περίδρομος|running round
@περίειμι1|to be around
@περίειμι2|to go round fetch a compass
@περίειμι|to be around
@πιστικός1|liquid
@πιστικός2|faithful
@πιστικός|liquid
@πιστός1|liquid medicines
@πιστός2|to be trusted or believed
@πιστός|liquid medicines
@πλάθω1|to approach, draw near
@πλάθω2|to approach, draw near
@πλάθω|to approach, draw near
@πλοῦτος1|wealth, riches
@πλοῦτος2|= πλοῦτος, ὁ, NTest.
@πλοῦτος|wealth, riches
@πολύπους1|many-footed
@πολύπους2|the sea-polypus or octopus
@πολύπους|many-footed
@πρίων1|a saw
@πρίων2|a sawyer
@πρίων|a saw
@προθέω1|to run before
@προθέω2|do they
@προθέω|to run before
@προλέγω1|to choose before
@προλέγω2|to foretell, announce beforehand
@προλέγω|to choose before
@προμήθεια|foresight, forethought
@προσδέω1|to bind on or to attach
@προσδέω2|to need besides
@προσδέω|to bind on or to attach
@προσκοπή1|a looking out for
@προσκοπή2|an offence
@προσκοπή|a looking out for
@πρόδομος1|the chamber entered immediately from the
@πρόδομος2|before the house
@πρόδομος|the chamber entered immediately from the
@πρόειμι1|to go forward, go on, advance
@πρόειμι2|to be before
@πρόειμι|to go forward, go on, advance
@πρόοδος1|a going on, advance, progress
@πρόοδος2|going before
@πρόοδος|a going on, advance, progress
@πρόσειμι1|to be added to, be attached to, belong to
@πρόσειμι2|to go to or towards, approach
@πρόσειμι|to be added to, be attached to, belong to
@πυκτίς1|a writing tablet
@πυκτίς2|the beaver
@πυκτίς|a writing tablet
@πόσις1|a husband, spouse, mate
@πόσις2|a drinking, drink, beverage
@πόσις|a husband, spouse, mate
@πύλος|= πύλη, Il.
@πύρινος1|of fire, fiery, hot
@πύρινος2|of wheat, wheaten
@πύρινος|of fire, fiery, hot
@πῶμα1|a lid, cover
@πῶμα2|a drink, a draught
@πῶμα|a lid, cover
@πῶς1|in a certain way
@πῶς2|how? in what way or manner?
@πῶς|in a certain way
@σκάφος1|a digging, hoeing
@σκάφος2|the hull of a ship
@σκάφος|a digging, hoeing
@σμυρναῖος|of myrrh
@σμύρνα|myrrh
@σπάρτη|= σπάρτον, Ar.
@στεῖρα1|a ship's keel
@στεῖρα2|a cow that has not calved
@στεῖρα|a ship's keel
@στησίχορος|establishing
@στύραξ1|storax
@στύραξ2|the spike at the lower end of a spear-shaft
@στύραξ|storax
@συλληπτέος1|one must seize together
@συλληπτέος2|to be seized
@συλληπτέος|one must seize together
@συμπάρειμι1|to be present also or at the same time
@συμπάρειμι2|to go beside also or together
@συμπάρειμι|to be present also or at the same time
@συνεράω1|to pour together, gather together
@συνεράω2|to love together with
@συνεράω|to pour together, gather together
@συννέω1|to pile or heap together, heap up
@συννέω2|to swim together or with
@συννέω|to pile or heap together, heap up
@συρίζω|to play the
@σύναυλος1|in concert with the flute
@σύναυλος2|dwelling with, living in the folds with
@σύναυλος|in concert with the flute
@σύνειμι1|to be with, be joined or linked with
@σύνειμι2|to go or come together, to assemble
@σύνειμι|to be with, be joined or linked with
@σύνοδος1|= συνοδοιπόρος, Anth.
@σύνοδος2|an assembly, meeting
@σύνοδος|= συνοδοιπόρος, Anth.
@σῖγμα1|sal
@σῖγμα2|sigma
@σῖγμα|sal
@τάριχος1|a dead body preserved by embalming, a mummy
@τάριχος2|= τά̆ρῑχος1 II, Ar., etc.
@τάριχος|a dead body preserved by embalming, a mummy
@τάφος1|a burial, funeral
@τάφος2|astonishment, amazement
@τάφος|a burial, funeral
@ταῦ1|Τ, τ, ταῦ, τό, indecl., nineteenth letter of the Gr. alphabet: as numeral τ# ῀ 300, but #22τ ῀ 300, 000.
@ταῦ2|the letter τ, Plat.
@ταῦ|Τ, τ, ταῦ, τό, indecl., nineteenth letter of the Gr. alphabet: as numeral τ# ῀ 300, but #22τ ῀ 300, 000.
@τρέχνος1|a twig
@τρέχνος2|a twig
@τρέχνος|a twig
@τρίγλυφος1|the triglyph, a three-grooved tablet
@τρίγλυφος2|thrice-cloven.
@τρίγλυφος|the triglyph, a three-grooved tablet
@τρύχω1|to wear out, waste, consume
@τρύχω2|to wear out, waste, consume
@τρύχω|to wear out, waste, consume
@τυφώς|a whirlwind, typhoon
@φάσις1|an accusation
@φάσις2|an assertion
@φάσις|an accusation
@φανός1|light, bright
@φανός2|a torch
@φανός|light, bright
@φοῖνιξ|a purple-red, purple or crimson
@χαλκίς|= κύμινδις, Il.
@χείρων|worse, meaner, inferior
@χοῦς1|the Pitcher-feast
@χοῦς2|earth thrown down or heaped up
@χοῦς|the Pitcher-feast
@χράω1|to fall upon, attack, assail
@χράω2|to furnish what is needful
@χράω|to fall upon, attack, assail
@χῶρος1|a piece of ground, ground, place
@ψεύδω1|to cheat by lies, beguile
@ψεύδω2|to cheat by lies, beguile
@ψεύδω|to cheat by lies, beguile
@ψιλόω1|to strip bare
@ψιλόω2|to strip bare
@ψιλόω|to strip bare
@ἀίω1|to perceive
@ἀίω2|to breathe
@ἀίω|to perceive
@ἀλήιος|poor in lands
@ἀμάω1|to reap corn
@ἀμάω2|to gather together, collect
@ἀμάω|to reap corn
@ἀπείρων1|without experience, ignorant
@ἀπείρων2|boundless, endless, countless
@ἀπείρων|without experience, ignorant
@ἀπειλέω1|to force back
@ἀπειλέω2|to hold out
@ἀπειλέω|to force back
@ἀπειρία1|want of skill, inexperience
@ἀπειρία2|infinity
@ἀπειρία|want of skill, inexperience
@ἀποδέω1|to bind fast
@ἀποδέω2|to be in want of, lack
@ἀποδέω|to bind fast
@ἀποκλάζω1|to ring or shout forth
@ἀποκλάζω2|to bend one's knees
@ἀποκλάζω|to ring or shout forth
@ἀπολέγω1|to pick out from
@ἀπολέγω2|to decline, refuse
@ἀπολέγω|to pick out from
@ἀπόφασις1|a denial, negation
@ἀπόφασις2|a sentence, decision
@ἀπόφασις|a denial, negation
@ἀράω1|to pray
@ἀράω2|to damage
@ἀράω|to pray
@ἀργός1|shining, bright, glistening
@ἀργός2|not working the ground, living without labour
@ἀργός|shining, bright, glistening
@ἀσφάραγος1|the throat, gullet
@ἀσφάραγος2|asparagus
@ἀσφάραγος|the throat, gullet
@ἀφυλακτέω1|to bark out
@ἀφυλακτέω2|to be off one's guard
@ἀφυλακτέω|to bark out
@ἁλίζω1|to gather together, to muster
@ἁλίζω2|to salt
@ἁλίζω|to gather together, to muster
@ἁμός1|our, ours
@ἁμός2|as, when
@ἁμός|our, ours
@ἄν1|= ἐάν, ἤν, often in Plat., etc.; cf. κἄν.
@ἄν2|if haply
@ἄν|= ἐάν, ἤν, often in Plat., etc.; cf. κἄν.
@ἄνοδος1|having no road, impassable
@ἄνοδος2|a way up
@ἄνοδος|having no road, impassable
@ἄνω1|to accomplish, achieve, finish
@ἄνω2|up, upwards
@ἄνω|to accomplish, achieve, finish
@ἄπειμι1|to be away or far from
@ἄπειμι2|to go away, depart
@ἄπειμι|to be away or far from
@ἄπειρος1|without trial or experience of
@ἄπειρος2|boundless, infinite, countless
@ἄπειρος|without trial or experience of
@ἄπιος1|a pear-tree
@ἄπιος2|far away, far off, distant
@ἄπιος|a pear-tree
@ἄρωμα1|any spice or sweet herb
@ἄρωμα2|arable land, corn-land
@ἄρωμα|any spice or sweet herb
@ἄσκοπος1|inconsiderate, heedless
@ἄσκοπος2|aimless, random
@ἄσκοπος|inconsiderate, heedless
@ἄω1|to blow
@ἄω2|to hurt
@ἄω3|to satiate
@ἄω|to blow
@ἄωρος1|untimely, unseasonable
@ἄωρος2|pendulous, waving about
@ἄωρος|untimely, unseasonable
@ἅλιος1|of the sea
@ἅλιος2|fruitless, unprofitable, vain, idle
@ἅλιος|of the sea
@Ἀλήιος|of wandering
@Ἀχαία1|Achaia
@Ἀχαία2|name of Demeter in Attica, Hdt.
@Ἀχαία|Achaia
@ἐλελίζω1|to whirl round
@ἐλελίζω2|to raise the battle-cry
@ἐλελίζω|to whirl round
@ἐμβαδόν1|on foot, by land
@ἐμβαδόν2|surface, area
@ἐμβαδόν|on foot, by land
@ἐναύω1|to kindle
@ἐναύω2|cry aloud.
@ἐναύω|to kindle
@ἐνδέω1|to bind in, on or to
@ἐνδέω2|to be in want of
@ἐνδέω|to bind in, on or to
@ἐνδαίω1|to kindle in
@ἐνδαίω2|to distribute.
@ἐνδαίω|to kindle in
@ἐξαμάω1|to mow or reap out, to finish mowing
@ἐξαμάω2|= ἐξαφύσσω.
@ἐξαμάω|to mow or reap out, to finish mowing
@ἐξαύω2|to heat
@ἐξαύω3|to cry out
@ἐξαύω|to heat
@ἐξερέω1|I will speak out, tell out, utter aloud
@ἐξερέω2|to inquire into
@ἐξερέω|I will speak out, tell out, utter aloud
@ἐπίλογχος1|barbed
@ἐπίλογχος2|reserve candidate.
@ἐπίλογχος|barbed
@ἐπίπλοος1|a sailing against, bearing down upon
@ἐπίπλοος3|the membrane enclosing the entrails, the caul
@ἐπίπλοος|a sailing against, bearing down upon
@ἐπίσκοπος1|one who watches over, an overseer, guardian
@ἐπίσκοπος2|hitting the mark
@ἐπίσκοπος|one who watches over, an overseer, guardian
@ἐπιδέω1|to bind or fasten on
@ἐπιδέω2|to want or lack of
@ἐπιδέω|to bind or fasten on
@ἐπιδαίομαι1|to kindle at
@ἐπιδαίομαι2|to distribute
@ἐπιδαίομαι|to kindle at
@ἐπιθύω1|to sacrifice besides or after
@ἐπιθύω2|to rush eagerly at
@ἐπιθύω|to sacrifice besides or after
@ἐπικλείω1|to shut to, close
@ἐπικλείω2|to extol or praise the more
@ἐπικλείω|to shut to, close
@ἐπινέω1|to allot by spinning
@ἐπινέω2|to heap up or load with
@ἐπινέω3|to float on the top
@ἐπινέω|to allot by spinning
@ἐπιπάρειμι1|to be present besides or in addition
@ἐπιπάρειμι2|to march on high ground parallel with
@ἐπιπάρειμι|to be present besides or in addition
@ἐπιχράω1|to attack, assault
@ἐπιχράω2|to lend besides
@ἐπιχράω|to attack, assault
@ἐράω1|to love, to be in love with
@ἐράω2|to pour out, vomit forth
@ἐράω|to love, to be in love with
@ἑστία|the hearth of a house, fireside
@ἔλεγχος1|a reproach, disgrace, dishonour
@ἔλεγχος2|a cross-examining, testing
@ἔλεγχος|a reproach, disgrace, dishonour
@ἔμπαιος1|possessed of or practised in
@ἔμπαιος2|bursting in, sudden
@ἔμπαιος|possessed of or practised in
@ἔμπλην1|near, next, close by
@ἔμπλην2|besides, except
@ἔμπλην|near, next, close by
@ἔναυλος1|the bed of a stream, a torrent, mountain-stream
@ἔναυλος2|on or to the flute
@ἔναυλος|the bed of a stream, a torrent, mountain-stream
@ἔξοδος1|a going out
@ἔξοδος2|promoting the passage
@ἔξοδος|a going out
@ἔπειμι1|to be upon
@ἔπειμι|to come upon
@ἔργω1|to bar one's way
@ἔργω2|to do work
@ἔργω|to do work
@ἔρος1|love, desire
@ἔρος2|wool
@ἔρος|love, desire
@ἔφοδος1|accessible
@ἔφοδος2|one who goes the rounds
@ἔφοδος3|a way towards, approach
@ἔφοδος|accessible
@ἔφορμος1|at anchor
@ἔφορμος2|= ἐφόρμησις, Thuc.
@ἔφορμος|at anchor
@ἕλιξ1|twisted, curved
@ἕλιξ2|anything which assumes a spiral shape
@ἕλιξ|twisted, curved
@ἕνος1|the day after to-morrow
@ἕνος2|belonging to the former of two periods, last year's
@ἕνος|the day after to-morrow
@ἕρμα1|a prop, support
@ἕρμα2|earrings
@ἕρμα|a prop, support
@Ἑστία|Vesta
@ἡνία1|reins
@ἡνία2|the bridle
@ἡνία|reins
@ἤ1|or
@ἤ2|an exclamation, to call one's attention to a thing, ἤ, ἤ, σιώπα Ar.
@ἤ|or
@ἰαχή1|a cry, shout, wail, shriek
@ἰαχή2|v. ἰαχή
@ἰαχή|a cry, shout, wail, shriek
@ἰδέ1|and
@ἰδέ2|lo, behold
@ἰδέ|and
@ἰθύς1|straight, direct
@ἰθύς2|a straight course
@ἰθύς|straight, direct
@ἰταλός|= ταῦρος, whence Italy is said to be derived, cf. Lat. vitulus.
@ἰός1|an arrow
@ἰός3|rust
@ἰός|an arrow
@ἰώ|oh!
@ἰῶτα1|the letter iota
@ἰῶτα2|adscriptum
@ἰῶτα|the letter iota
@ἴδη1|a timber-tree
@Ἰταλός|Italian
@Ἰώ|Io
@Ἴδη|Ida
@Ἴλιος1|Ilian, Trojan
@Ἴλιος2|Ilios or Ilium, the city of Ilus, Troy
@Ἴλιος|Ilian, Trojan
@ὁδός1|a threshold
@ὁδός2|a way, path, track, road, highway
@ὁδός|a threshold
@ὁλκός1|drawing to oneself, attractive
@ὁλκός2|a machine for hauling
@ὁλκός|drawing to oneself, attractive
@ὄγκος1|the barb
@ὄγκος2|bulk, size, mass
@ὄγκος|the barb
@ὅμηρος|a pledge for the maintenance of unity, a surety, a hostage
@ὅτι1|for what, wherefore
@ὅτι2|that
@ὅτι|for what, wherefore
@Ὅμηρος|Homer
@ὑάκινθος|the hyacinth
@ὑγιαίνω1|to be sound, healthy or in health
@ὑγιαίνω2|to be sound, healthy or in health
@ὑγιαίνω|to be sound, healthy or in health
@ὑμήν1|a thin skin, membrane
@ὑμήν2|Hymen
@ὑμήν|a thin skin, membrane
@ὑποθυμίς1|an unknown bird, Ar.
@ὑποθυμίς2|a garland worn on the neck
@ὑποθυμίς|an unknown bird, Ar.
@ὑπόλογος1|held accountable or liable
@ὑπόλογος2|a taking into account, a reckoning, account
@ὑπόλογος|held accountable or liable
@ὕπειμι1|to be under
@ὕπειμι2|to steal secretly upon
@ὕπειμι|to be under
@Ὑάκινθος|Hyacinthus
@ῥέα|easily, lightly
@ῥυτός2|dragged along
@ῥυτός3|flowing, running, fluid, liquid
@ῥυτός|dragged along
@Ῥέα|Rhea
αἰ|if
αἰάζω|to cry
αἰένυπνος|lulling in eternal sleep
αἰακίδης|son of Aeacus
αἰακτός|bewailed, lamentable
αἰανής|dreary, dismal, direful, horrid
αἰαῖ|ah!
αἰβοῖ|bah!
αἰγίβοσις|a goat-pasture
αἰγίβοτος|browsed by goats
αἰγίθαλλος|the titmouse
αἰγίκνημος|goat-shanked
αἰγίλιψ|destitute even of goats
αἰγίνομος|browsed by goats
αἰγίοχος|Aegis-bearing
αἰγίπους|= αἰγιπόδης, Hdt.
αἰγίπυρος|a plant
αἰγίς|the aegis or shield
αἰγαίων|Aegaeon
αἰγανέη|a hunting-spear, javelin
αἰγαῖος|Aegaean
αἰγελάτης|a goatherd
αἰγιαλίτης|one who haunts the shore
αἰγιαλός|the sea-shore, beach, strand
αἰγιβότης|feeding goats
αἰγικορεῖς|goatherds
αἰγινήτης|an Aeginetan
αἰγιναίη|Aegina
αἰγιναῖος|of Aegina
αἰγινομεύς|a goatherd
αἰγινόμος|feeding goats
αἰγιπόδης|goat-footed
αἰγλήεις|dazzling, radiant, lustrous
αἰγλοφανής|radiant
αἰγοπρόσωπος|goat-faced
αἰγοπόδης|= αἰγιπόδης, Anth.
αἰγυπιός|a vulture
αἰγυπτιάζω|to speak Egyptian
αἰγυπτιακός|of or for the Egyptians
αἰγυπτιστί|in the Egyptian tongue
αἰγυπτογενής|of Egyptian race
αἰγόκερως|goat-horned
αἰγόνυξ|αἴξ, ὄνυξ, ῀ αἰγῶνυξ, Anth.
αἰγύπτιος|Egyptian
αἰγῶνυξ|goat-hoofed
αἰδέομαι|to be ashamed to do
αἰδέσιμος|exciting shame, venerable
αἰδήμων|bashful, modest
αἰδοῖον|the genitals, pudenda
αἰδοῖος|regarded with reverence, august, venerable
αἰδόφρων|respectful in mind, compassionate
αἰδώς|a sense of shame, shame, modesty, self-respect
αἰζήιος|strong, lusty, vigorous
αἰζηός|strong, lusty, vigorous
αἰθάλη|soot
αἰθέριος|of or in the upper air, high in air, on high
αἰθήρ|ether, the brighter purer air, the sky
αἰθίοψ|burnt-face
αἰθαλίων|swarthy, dusky
αἰθαλόεις|smoky, sooty
αἰθαλόω|to soil with soot or smoke
αἰθερεμβατέω|to walk in ether
αἰθεροδρόμος|ether-skimming
αἰθιοπία|Ethiopia
αἰθιοπικός|Ethiopian
αἰθρία|in clear weather
αἰθρηγενής|born in ether, sprung from ether
αἰθριάω|to be clear
αἰθριοκοιτέω|to sleep in open air
αἰθυκτήρ|one that darts swiftly
αἰθύσσω|to put in rapid motion, stir up, kindle
αἰκάλλω|to flatter, wheedle, fondle
αἰκέλιος|poetic for ἀεικέλιος
αἰκία|injurious treatment, an affront, outrage
αἰκίζω|to treat injuriously, to plague, torment
αἰκισμός|= αἴκισμα, Dem.
αἰνέω|to tell or speak of
αἰνίζω|usually dep., = αἰνέω, Hom.:—act. αἰνίζω, Anth.
αἰνίσσομαι|to speak in riddles
αἰναρέτης|terribly brave
αἰνετός|praiseworthy
αἰνητός|= αἰνετός, Pind.
αἰνιγματώδης|riddling, dark
αἰνιγμός|a riddle
αἰνικτήριος|in riddles
αἰνικτός|expressed in riddles, riddling
αἰνοβίας|awefully strong
αἰνολέων|a dreadful lion
αἰνολαμπής|horrid-gleaming
αἰνοπαθής|suffering dire ills
αἰνοπατήρ|unhappy father
αἰνοτόκεια|unhappy in being a mother
αἰνοτύραννος|a dreadful tyrant
αἰνόγαμος|fatally wedded
αἰνόθεν|from horror to horror, right horribly
αἰνόθρυπτος|sadly enervated
αἰνόλεκτρος|fatally wedded
αἰνόλινος|unfortunate in life's thread
αἰνόλυκος|a horrible wolf
αἰνόμορος|doomed to a sad end
αἰνόπαρις|unlucky Paris
