Αἰάντειος,of Ajax
Καύκᾰσος,Mt. Caucasus
Καύνιος,of or from Caunus
Καῖσαρ,elephant
Κελτίβηρες,tribes of mixed Celtic and Iberian descent
Κελτιστί,in the language of the Celts
Κελτοί,Celtic, Gallic
Κελτολίγῠες,tribes of mixed Celtic and Ligurian descent
Κελτοσκύθαι,tribes of mixed Celtic and Scythian descent
Κενταυρίδης,sprung from Centaurs
Κενταυρικός,like a Centaur
Κενταυροφόνος,slaying Centaurs
Κενταύρειος,of Centaurs
Κερβεροκίνδῡνος,full of Cerberus-dangers
Κεχηνότως,openmouthed
Κεχηνώδης,forming a hiatus
Κηληθμός,rapture, enchantment
Κιλλικύριοι,class of serfs at Syracuse
Κιμμέριοι,the Crimea
Κλάριος,distributing by lot
Κλάριος1,distributing by lot
Κλάριος2,of
Κλεομενισταί,partisans of Cleomenes
Κλῶθες,Goddesses of fate
Κνίδιος,of or from Cnidos
Κνίδος,Cnidos
Κνῐδόθεν,from Cnidos
Κνῐδῐουργής,of Cnidian manufacture
Κοίλη,giblets of poultry
Κοιογενής,born of Coios
Κολοφώνιος,of or from Colophon
Κολωνῆθεν,from the deme
Κολᾰκοφωροκλείδης,flattering son of a thief
Κολᾰκώνῠμος,parasite-named
Κομητᾰμῡνίας,Amynias, Coxcomb-amynias
Κομπέω,ring, clash
Κομπαστής,braggart
Κομπαστικός,braggart
Κομπηγόρος,speaking boastfully
Κομπηρός,resounding
Κομπᾰσία,ringing
Κομπᾰσεύς,one of the
Κοννᾶς,trifle
Κονώνειος,of Conon
Κορίνθιος,courtesan
Κορειτήα,performance as attendant of Kore
Κοριάσια,festival of Kore
Κορινθιάζομαι,practise fornication
Κορινθιαστής,whoremonger
Κορινθιουργής,of Corinthian workmanship or style
Κορινθοειδής,of Corinthian style
Κορύβᾱς,Corybant, priest of Cybele in Phrygia
Κορῠβάντειος,Corybantian
Κορῠβαντίζω,purify by Corybantic rites
Κορῠβαντιάω,celebrate the rites of the Corybantes, to be filled with Corybantic frenzy
Κορῠβαντιασμός,Corybantic frenzy
Κορῠβαντισμός,purification by Corybantic rites
Κορῠβαντώδης,Corybant-like, frantic
Κουραφροδίτη,virgin-Aphrodite
Κρήτη,from Crete
Κρητάρχης,president of the
Κρητίζω,speak like a Cretan
Κρητικός,in Cretan fashion
Κρητισμός,Cretan behaviour
Κρητογενής,born in Crete
Κρονίδης,son of Cronos
Κρονίων,son of Cronos
Κρονεῖον,temple of Cronos
Κρονικός,Saturn
Κρονοθήκη,receptacle for old follies
Κρονόληρος,old twaddler
Κρονότεκνος,father of Cronos
Κρόνιος,of Cronos
Κρόνιππος,an old dotard
Κρόνος,a dotard, old fool
Κρᾰτήτειος,of Crates
Κρᾰτίνειος,used by
Κρῐτῐάζω,imitate the style of Critias
Κυάνεαι,Dark-rocks
Κυθνώλης,utter ruin
Κυκλοέλικτος,revolving in a circle
Κυκλοβορέω,brawl like the torrent Cycloborus
Κυκλογράφος,writing on a cycle
Κυκλογρᾰφέω,describe a circle
Κυκλογρᾰφία,description, tracing of a circle
Κυκλοδίωκτος,driven round in a circle
Κυκλοειδής,circular
Κυκλωπία,the tale of the Cyclops
Κυκλωπικῶς,like the Cyclopes
Κυκλόεις,circular
Κυκλώπειος,uncivilized
Κυλλήνη,Cyllene, a mountain in Arcadia
Κυπρίδιος,of love
Κυπρογενής,Cyprus-born
Κυρηναϊκός,the disciples
Κυψελίδαι,descendants of Cypselus
Κωλιάς,potter's clay
Κωρῠκιώτης,of Corycus
Κόδρος,old-fashioned persons
Κόμπασμα,boasts
Κόρινθος,at
Κύθηρα,from Cythera
Κύκλωψ,Round-eyed
Κύπριος,of Cyprus, Cyprian
Κύπρις,a Venus
Κύπρος,from Cyprus
Κύρειος,of Cyrus
Κύρνος,a nest of robbers
Κώρῠκος,spying out
Κᾰκοΐλιος,unhappy Ilios
Κᾰλαύρεια,citizen of C.
Κᾰπετώλιον,victor in the Ludi Capitolini
Κᾰρύαι,dance in honour of Artemis
Κᾱρίζω,act like a Carian
Κᾱρίνη,Carian woman
Κᾱρικοεργής,of Carian work
Κᾱρικός,worthless
Κᾱριστί,in Carian language, barbarously
Κῐλί̆κιον,coarse cloth
Κῐλῐκίζω,play the Cilician
Κῐλῐκισμός,Cilician behaviour
Κῐλῐκῐαρχία,presidency of the provincial council of Cilicia
Κῐμώνιος,of or belonging to Cimon
Κῠδωνέα,quince-tree, Pyrus Cydonia
Κῠδωνίτης,quince
Κῠδωνιάτης,inhabitant of Cydonia
Κῠδωνιάω,swell like a quince
Κῠδωνᾶτον,drink made from quinces
Κῠδώνιος,quinces
Κῠθερηΐς,of Cythereia
Κῠθηροδίκης,Spartan magistrate sent annually to govern the island of Cythera
Κῠνᾰμολγοί,dog-milkers
Κῦρος,the elder Cyrus
Κῳᾰκός,of Cos
Κῶς,to Cos
Κῷος,of, from the island
Λ,os hyoïdes
Λάκαινα,Laconian woman
Λάκων,a Laconian
Λάμιᾰ,a fabulous monster said to feed on man's flesh
Λάρῑσα,citadel
Λάτιον,jus Latii
Λάχεσις,Disposer of lots
Λέσβος,from Lesbos
Λίβῠς,a Libyan
Λίγυς,bastard lovage, Laserpitium Siler
Λίνδος,from Lindos
Λίνος,the song or lay of Linos
Λαύρειον,of Mt. Laurium
Λεβύα,sprung from Libya
Λεξῐφάνης,Phrase-monger
Λεσβάρχης,president of the council of Lesbos
Λεσβίς,Lesbian woman
Λεσβιάζω,do like the Lesbian women
Λευίτης,Levite
Λευκιππίδες,daughters of Leucippus
Λευκοθέα,the white goddess
Λεωκόρειον,the temple of the daughters of Leos
Λημνιασταί,worshippers of the Lemnian deities
Ληνᾰΐζω,celebrate Bacchanal rites
Ληνᾰϊκός,of or belonging to the
Ληνᾱγέτας,leader of Bacchanals
Λητοΐδης,son of Leto
Λητογενής,born of Leto
Λητώ,of or born from Leto
Λοκριστί,in Locrian manner
Λοκροί,the Locrians
Λοξίας,the zodiac or ecliptic
Λοξικός,oblique
Λύδιος,of Lydia, Lydian
Λύκειον,the Lyceum
Λύκιος,the Lycians
Λᾰκωνίζω,imitate Lacedaemonian manners, dress
Λᾰκωνικός,Laconian shoes
Λᾰκωνισμός,imitation of Lacedaemonian manners
Λᾰκωνιστής,one who imitates the Lacedaemonians
Λᾰκωνομᾰνέω,to be mad on Spartan ways
Λᾰκωνόσημος,with stripes in Laconian fashion, Poxy.
Λᾰτιάριος,the Latin festival
Λᾰτῑνοήθης,following Latin customs
Λᾰτῑνος,feriae Latinae
Λᾱΐειος,of Laius
Λᾱμᾰχίππιον,little jockey-Lamachus
Λῆμνος,from Lemnos
Λῐβυρνοί,the Liburnians
Λῐβύη,the west bank of the Nile
Λῐβῠάρχης,governor of region on the west bank of the Nile
Λῐβῠφοίτης,visiting Libya
Λῐβῠφοῖνιξ,Liby-Phoenician
Λῐπάρα,of Lipara
Λῐτῠέρσης,a reaper's song named after him
Λῠαῖος,loosener or deliverer
Λῠκία,from Lycia
Λῠκαιονίκης,victor at the
Λῠκαῖος,Lycaean, Arcadian
Λῠκηγενής,Lycian-born
Λῠκιάρχης,president of the
Λῠκιοεργής,of Lycian workmanship
Λῠκούργεια,trilogy
Λῠκόποδες,barefoot
Λῠκᾱονία,in Lycaonian
Λῡδία,a history of Lydia
Λῡδίζω,speak Lydian
Λῡδιστί,after the Lydian fashion
Λῡδοπᾰθής,voluptuous as a Lydian
Λῡδός,a Lydian
Λῡσάνδρια,festival in honour of Lysander
Μάγνης,the magnet
Μάγος,one of the priests and wise men in Persia
Μάμερτος,Mamers, = Mavors, Mars
Μάρτιος,Martius, the month of March
Μάϊος,Maius, May
Μέγᾰρα,to Megara
Μέμνων,the Steadfast
Μήλιος,from the island of Meios, Melian
Μίδας,the luckiest throw
Μαίανδρος,winding
Μαίνᾰλον,Mount Maenalus
Μαζουσία,breast-shaped
Μαιμάκτης,boisterous, stormy
Μαιωτιστί,in Scythian fashion
Μαιῆτις2,a fish caught there, and in the Nile
Μαιῶται,the Palus Maeotis, Sea of Azof
Μαμμάκῠθος,blockhead
Μαργί̄της,madman
Μαργῑτομᾰνής,mad as Margites
Μαύσσωλλος,tomb
Μαῖρα,the Sparkler
Μεγᾰρίζω,side with the Megarians or speak their dialect
Μεγᾰρεύς,citizen of Megara
Μεγᾰρικός,Megarian pottery
Μεγᾰριστί,in the Megarian dialect
Μεγᾰροῖ,at Megara
Μεγᾰρόθεν,from Megara
Μελίαι,ash-nymphs.
Μελητίδης,a blockhead
Μελπομένη,the Songstress
Μελῐνοφάγοι,Millet-eaters
Μελῐταῖος,of or from Melita
Μεμφίτιον,jar
Μενέλᾱος,Abiding-men
Μεντορουργής,wrought by Mentor
Μερῐδάρπαξ,Bit-stealer
Μεταγείτνια,festival in celebration of
Μεταγείτνιος,changed their neighbours
Μηδίζω,side with the Medes
Μηδίς,Median woman
Μηδεσῐκάστη,adorned with prudence
Μηδικός,the Median affairs
Μηδισμός,leaning towards the Medes, Medism
Μηδιστί,in Median fashion
Μηδοκτόνος,Mede-slaying
Μηλιάδες,nymphs of the fruit-trees
Μηλῐεύς,inhabitant of Malis
Μηνιασταί,worshippers of
Μηρῐόνης,pudenda muliebria
Μιθράκανα,festival of Mithras
Μιθραῖον,shrine of Mithras
Μιθριακός,of Mithras
Μιθρᾰδάτης,Mithradates
Μιμνέρμειον,gymnasium named after Mimnermus
Μορμώ,she-monster, bogey
Μορφεύς,forms
Μοσσῡνικός,made by the
Μουνῠχία,inhabitant of the place
Μουνῠχίαζε,to Munychia
Μουνῠχίᾱθεν,from Munychia
Μουνῠχίᾱσι,at Munychia
Μουσεῖον,shrine of the Muses, seat or haunt of the Muses
Μουσᾰϊσταί,worshippers of the Muses
Μουσᾱγέτᾱς,leader of the Muses
Μοψοπία,the Athenians
Μούσαρχος,leader of the Muses
Μούσειος,of or belonging to the Muses
Μοῦσα,music, song
Μυρρῐνοῦς,an inhabitant of it
Μόρῠχος,smeared
Μύκονος,it's all one, all alike
Μᾰκεδονίζω,to be on the Macedonian side
Μᾰρᾰθωνομάχης,one who fought at Marathon
Μᾰρᾰθών,overgrown with fennel
Μᾰρῐανδῡνία,wild, barbaric
Μῆδος,Mede, Median
Μῑλήσιος,the Milesians
Μῑλησῐουργής,of Milesian work
Μῠκήνη,Mycene, Mycenae
Μῠοτρῶκται,Mouse-eaters
Μῠότρωτος,hurt in the muscles
Μῡσός,a prey to all
Μῶἁ,musical contest
Νάξος,Naxos
Νέαιρα,Neaera
Νέστωρ,Nestor
Νήρειος,of Nereus
Ναΐαρχος,warden of temple of Zeus
Ναξιουργής,of Naxian work
Ναυπλία,a Nauplian
Ναϊάς,Naiad, river-nymph, spring-nymph
Ναϊᾰκός,of the Naiads
Ναύπακτος,Naupactus
Νεάπολις,new city
Νειλαῖος,from the Nile
Νειλεῖον,temple of
Νειλοβροχέω,to be inundated by the Nile
Νειλογενής,Nile-born
Νειλοθερής,burnt by the Nile
Νειλοκᾰλάμη,bulrush
Νειλομέτριον,Nilometer
Νειλωΐς,situated on the Nile
Νειλόβροχος,inundated by the Nile
Νειλόρῠτος,watered by the Nile
Νειλώτης,in or on the Nile
Νεμέα,wooded district
Νεμέσια,festival of Nemesis
Νεμεονίκης,victor in the Nemean games
Νεμεσεῖον,temple of Nemesis
Νεοπτόλεμος,New-warrior
Νερώνεια,festival of Nero
Νεφώτης,Nefr-hotep
Νεόκρητες,Cretan recruits
Νεῖλος,Nile
Νηλεύς,Neleus
Νηρεύς,Nereus
Νηρηΐς,daughter of Nereus, sea-nymph
Νόσιος,Healer
Νῑκᾱτόρειον,tomb and temple of Seleucus I
Νῦσα,Nysa
Ξ,samech
Ξανθίας,Xanthias
Ξενοφῶν,of or by X.
Ο,little or short o
Οἰδίπους,Oedipus
Οἰνόη,Oenoë
Οἰχᾰλία,from Oechalia
Οἰόθεν,from Oeum
Οἴτη,of Oeta
Οἶον,Oeum
Οὐρᾰνία,the moon
Οὐρᾰνίδης,son of Uranos
Οὐρᾰνίωνες,the heavenly ones, gods
Οὐρᾰνιάς,celebration of] games
Πάνδῑα,a festival of Zeus
Πάνειος,panic
Πάνθηλυς,quite effeminate
Πάνιον,temple of Pan
Πάνορμος,its people
Πάρθοι,the Parthians
Πάρος,Paros
Πέδοτριψ,wearing out fetters
Πέργᾰμον,citadel, acropolis
Πέρσης,a throw on the dice
Πήγᾰσος,Pro Quinct.
Πήλιον,on or at the foot of Pelion
Πίστιος,Juppiter Fidius
Παίονες,their land
Παιάν,physician, healer
Παιηοσύνη,healing art
Παιηόνιος,healing
Παλλάδιον,statue of Pallas
Παλλάς,coin bearing the head of Pallas
Παλλήνη,an inhabitant there of
Παμβοιωτοί,United Boeotians
Παμφῡλία,President of the Provincial Council of P.
Πανδελέτειος,knavish like Pandeletus
Πανδῑονίδης,son of Pandion
Πανθηής,Studies in the Eastern Rom.Prov.
Πανθηλής,luxuriant
Παρθιστί,in the Parthian tongue
Παρμενίδειος,of Parmenides
Παρνᾱσός,lon
Παφλᾰγών,the country
Πεδιώ,goddess of the Plain
Πεδοσείων,earth-shaker
Πεδοσκᾰφής,digging the earth
Πεδοστῐβής,earth-treading
Πεδοτρῐβής,wearing the ground
Πειθώ,Persuasion
Πειραιεύς,from P.
Πεισῐᾰνάκτειος,of Peisianax
Πελασγιῶται,inhabitants of Pelasgiotis
Πελοποννήσιος,in the Peloponnesian
Πελοπόννησος,the Peloponnesus
Περίκλειος,of Pericles
Περίτιος,fourth month
Περγᾰσή,from P.
Περικαλλίμᾰχοι,followers of Callimachus
Περσίζω,speak Persian
Περσίς,Persis, Persia
Περσεύς,a fish
Περσηΐς,sprung from Perseus
Περσικός,slippers
Περσιστί,in the Persian tongue
Περσογενής,of Persian origin
Περσοδιώκτης,chaser of the Persians
Περσοκτόνος,Persian-slaying
Περσολέτης,destroyer of Persians
Περσονομέομαι,to be governed by the Persian laws or by Persians
Περᾱί̄της,native of Peraea
Πεφναῖος,of Pephnos
Πεῖα,Pius
Πηλεύς,son of Peleus
Πηλιάς,of or from Mount Pelion
Πηλούσιον,inhabitant of P.
Πηλούσιον1,inhabitant of P.
Πινδάρειος,of Pindar
Πινδόθεν,from Mount Pindus
Πιττάκειος,of Pittacus
Πλάταια,at Plataeae
Πλάτων,broad-shouldered
Πλειάδες,Pleiads
Πλουτάρχειος,of or by Plutarch
Πλουτώνιον,where there are mephitic vapours
Πλούτων,Pluto
Πολιάς,guardian of the city
Πολιεύς,guardian of the city
Πολυκράτειος,of Polycrates
Πολυμνήστεια,songs of Polymnestus
Πολύμνια,Polyhymnia, she of the many hymns
Πολῠδεύκης,Pollux
Ποντάρχης,president of the provincial council of Pontus
Πονταρχέω,hold office of
Πονταρχία,office of
Ποντικός,from Pontus, Pontic
Ποντοποσειδῶν,Sea-Poseidon
Ποσειδαῖα,games in honour of Poseidon
Ποσειδωνοπετής,coming from Poseidon
Ποσειδώνιος,sacred to Poseidon
Ποσειδᾱνιασταί,worshippers of Poseidon
Ποσῐδήϊος,sacred to Poseidon
Ποτείδαια,Potidea
Ποτνιάς,of Potniae, Potnian
Ποτνιαί,Potnian
Πράμνειος,raisin-wine
Πρέσβων,Elders
Πρί̆απος,Priapus
Πρίᾰμος,priam
Πραξίλλειον,used by Praxilla
Πραξῐδίκη,she who exacts penalties
Πρασσαῖος,Leek-green
Προκύων,Procyon
Προμένειος,pomegranate
Προποντίς,the Fore-sea
Προσπαλτόθεν,from Prospalta
Προσυμναῖος,of Prosymna
Πρωτεσίλᾱος,First of the people
Πρωτᾰγόρειος,of Protagoras
Πρόσπαλτα,an inhabitant of P.
